cumulative,just auto_increment,"auto_increment, key","auto_increment, unique key","w/o auto-increment, key","w/o auto-increment, unique key","w/o auto-increment, primary key"
0,0,0,0,0,0,0
10000,21.6654140949,20.3412001133,28.4907388687,20.132021904,55.5345671177,66.3383128643
20000,22.346750021,24.4924399853,25.4822509289,22.5435581207,102.972718,106.456445932
30000,23.3021688461,26.7495908737,26.1598441601,22.3121130466,141.401053905,138.189583063
40000,24.0810198784,25.8816969395,28.6510210037,23.446418047,182.984893084,171.131249905
50000,23.4971950054,25.0703201294,30.4393930435,22.9913330078,240.678968191,200.817817926
60000,22.2068078518,23.7691578865,28.1395487785,23.1465530396,267.262845993,223.655635118
70000,22.1685841084,24.6815209389,27.5278198719,25.9937970638,294.553624868,255.576972961
80000,24.8591651917,28.7503020763,31.3185739517,25.5818200111,315.518170834,290.585180044
90000,23.7367801666,29.0399451256,33.0756099224,23.5026519299,309.777323961,295.046600103
100000,22.3351259232,29.8393690586,31.3966779709,27.3049380779,317.917929888,333.371721983
110000,21.3890500069,31.0945010185,32.9864220619,27.0052821636,334.672036171,344.788082838
120000,22.8129720688,32.6922638416,34.4971680641,26.7366268635,355.987818003,365.488809109
130000,21.9016129971,36.7054190636,32.1746940613,28.928789854,381.568619013,382.898302794
140000,21.4460999966,31.6480660439,35.6446208954,28.3598709106,413.524001122,372.159746885
150000,21.7562861443,33.368571043,39.166916132,31.8188199997,400.637957096,421.752176046
160000,22.2225282192,35.2539560795,49.1412940025,34.0770180225,416.88261795,416.815418005
170000,20.3565659523,35.4102890491,50.042591095,33.7180459499,414.036686897,415.425670147
180000,21.2454881668,37.8009200096,61.5263161659,33.5194571018,439.597331047,427.477858067
190000,22.3465898037,44.31665802,61.8831279278,36.2782180309,449.007359982,453.306574106
200000,21.8129770756,36.4658839703,68.0981471539,34.1521730423,457.048503876,442.673389912
210000,21.8127651215,36.0784060955,45.0508449078,34.1537749767,451.424867868,465.781070948
220000,20.9449470043,38.6567590237,52.9438910484,34.253595829,455.32999301,472.00774312
