cumulative,just auto_increment,"auto_increment, key","auto_increment, unique key","w/o auto-increment, key","w/o auto-increment, unique key","w/o auto-increment, primary key"
0,0,0,0,0,0,0
10000,14.5051891804,16.1199300289,15.4630281925,14.9538011551,15.3417019844,15.352312088
20000,15.6726207733,16.1095240116,15.208687067,15.1080310345,15.4753949642,15.5638720989
30000,14.3829410076,15.9645531178,15.775441885,15.8312530518,15.3526508808,15.4638121128
40000,15.0731649399,16.209207058,15.4195082188,15.5203831196,14.7409799099,14.9628691673
50000,14.583717823,16.1287169456,16.5312907696,16.0757830143,14.507764101,15.1522929668
60000,15.4059529305,15.8527719975,15.9088699818,15.8205370903,15.1416578293,15.5643279552
70000,14.6943769455,15.9314579964,16.5313181877,15.5413970947,14.7180190086,15.2530009747
80000,14.1725690365,15.9868409634,15.9980120659,15.8312380314,15.0174958706,15.0754768848
90000,14.3171510696,16.1016540527,16.8428318501,15.6636748314,15.0845520496,15.1529688835
100000,14.4394509792,15.9039649963,15.7527210712,15.8868050575,14.9526410103,15.4975121021
110000,14.550205946,15.6647310257,16.118500948,15.6755731106,15.1530878544,15.1417498589
120000,14.7289659977,16.2980828285,16.7106328011,15.6205420494,21.6907801628,15.0525519848
130000,14.2280778885,15.8284680843,16.6740598679,16.1083440781,37.467705965,15.0967099667
140000,14.52739501,15.8646190166,16.6873071194,15.564469099,30.7627229691,15.6749258041
150000,14.4286999702,15.7421569824,15.8074250221,15.9196901321,29.395868063,15.6306200027
160000,14.4595389366,16.7765619755,21.7571458817,16.6318981647,29.0613439083,31.0411391258
170000,14.8624520302,16.0747351646,41.5480210781,17.4290819168,26.7239789963,35.8222939968
180000,14.8963191509,17.5111989975,34.5656359196,17.5545401573,28.5946700573,26.3827998638
190000,14.4849450588,17.320759058,35.6661920547,18.110337019,30.718875885,30.4175579548
200000,14.4395611286,17.6106629372,27.6606349945,17.7980818748,32.697455883,32.5422899723
210000,14.3619539738,18.7107081413,32.6861679554,18.0328719616,34.3100049496,34.3761711121
220000,14.828979969,18.3650548458,30.7744240761,18.2210559845,35.710725069,34.0206050873
